"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /users/search?q=John devuelve 3 usuarios relacionados","254","Buscar usuarios con 'John' en el nombre o apellido","Suite API Books","Thu Oct 09 02:30:56 GMT 2025","passed","Thu Oct 09 02:30:56 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testSearchUsersJohn"
"DELETE /users/{id} elimina el usuario y responde con el usuario eliminado","305","Eliminar un usuario","Suite API Books","Thu Oct 09 02:30:55 GMT 2025","passed","Thu Oct 09 02:30:55 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testDeleteUser"
"PUT /users/{id} modifica los datos del usuario, deberia devolver 204 peor siempre devuelve 200","209","Actualizar datos de un usuario","Suite API Books","Thu Oct 09 02:30:56 GMT 2025","passed","Thu Oct 09 02:30:57 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testUpdateUser"
"GET /users?limit=5&skip=10 devuelve 5 usuarios, desde el #11","248","Obtener usuarios paginados (limit/skip)","Suite API Books","Thu Oct 09 02:30:56 GMT 2025","passed","Thu Oct 09 02:30:56 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetUsersWithPagination"
"GET /users devuelve una lista de usuarios","347","Obtener todos los usuarios","Suite API Books","Thu Oct 09 02:30:55 GMT 2025","passed","Thu Oct 09 02:30:56 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetAllUsers"
"GET /users/{id} devuelve el usuario correcto","311","Obtener usuario por ID","Suite API Books","Thu Oct 09 02:30:56 GMT 2025","passed","Thu Oct 09 02:30:56 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetUserById"
"GET /users/1 debe cumplir el contrato users-schema.json","845","Validar schema de respuesta para un usuario","Suite API Books","Thu Oct 09 02:30:57 GMT 2025","passed","Thu Oct 09 02:30:57 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","validateUserSchema"
"POST /auth/login debe devolver status 200 y un token","145","Login exitoso de usuario","Suite API Books","Thu Oct 09 02:30:58 GMT 2025","passed","Thu Oct 09 02:30:58 GMT 2025","APITests.AuthTest","PruebasDummyJson","APITests.AuthTest","testLoginSuccess"
"POST /users/add crea un usuario y lo retorna con ID","2452","Crear un nuevo usuario","Suite API Books","Thu Oct 09 02:30:52 GMT 2025","passed","Thu Oct 09 02:30:55 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testCreateUser"
"POST /auth/login con credenciales inválidas debe dar 400","195","Login inválido","Suite API Books","Thu Oct 09 02:30:57 GMT 2025","passed","Thu Oct 09 02:30:58 GMT 2025","APITests.AuthTest","PruebasDummyJson","APITests.AuthTest","testLoginFail"
